country	year	source	age	unionORchildren	unionANDchildren	perc_simult
Vietnam	2005	1	21	3.099016	1.903879	0.614349523
Vietnam	2005	1	23	1.766362	1.413323	0.800132136
Vietnam	2005	1	24	8.645241	3.505568	0.405491067
Vietnam	2009	3	15	182.3816055	7.603296036	0.041688941
Vietnam	2009	3	16	199.7150052	6.548981132	0.032791633
Vietnam	2009	3	17	188.4083868	6.990206962	0.037101358
Vietnam	2009	3	18	285.9011173	33.19604668	0.116110238
Vietnam	2009	3	19	398.5194658	89.55231808	0.224712532
Vietnam	2009	3	20	557.393815	134.5970134	0.241475613
Vietnam	2009	3	21	808.8974955	265.8691341	0.328680872
Vietnam	2009	3	22	939.5895777	375.6864422	0.399841006
Vietnam	2009	3	23	1249.369771	593.7098406	0.475207464
Vietnam	2009	3	24	1743.932697	913.5605588	0.523850812
Zambia	2001	1	16	5.080693	1.295697	0.255023675
Zambia	2001	1	17	9.204444	2.109759	0.229210912
Zambia	2001	1	18	6.640625	0.410705	0.061847341
Zambia	2001	1	19	4.020073	0.918024	0.228360032
Zambia	2001	1	20	4.568621	1.953948	0.427688793
Zambia	2001	1	22	7.610756	2.952177	0.387895368
Zambia	2001	1	23	2.067185	2.067185	1
Zambia	2001	1	24	5.266908	2.692404	0.511192525
