"country"	"YEAR"	"source"	"AGE"	"unionORchildren"	"unionANDchildren"	"perc_simult"
"Romania"	"2002"	"3"	"21"	"425"	"68"	"0.16"
"Romania"	"2002"	"3"	"22"	"458"	"86"	"0.1877729258"
"Romania"	"2002"	"3"	"23"	"441"	"88"	"0.1995464853"
"Romania"	"2002"	"3"	"24"	"426"	"94"	"0.220657277"
"Rwanda"	"2002"	"3"	"13"	"244"	"1"	"0.0040983607"
"Rwanda"	"2002"	"3"	"14"	"228"	"2"	"0.0087719298"
"Rwanda"	"2002"	"3"	"15"	"203"	"3"	"0.0147783251"
"Rwanda"	"2002"	"3"	"16"	"155"	"1"	"0.0064516129"
"Rwanda"	"2002"	"3"	"17"	"112"	"4"	"0.0357142857"
"Rwanda"	"2002"	"3"	"18"	"94"	"9"	"0.0957446809"
"Rwanda"	"2002"	"3"	"19"	"87"	"15"	"0.1724137931"
"Rwanda"	"2002"	"3"	"20"	"116"	"23"	"0.1982758621"
"Rwanda"	"2002"	"3"	"21"	"100"	"25"	"0.25"
"Rwanda"	"2002"	"3"	"22"	"83"	"30"	"0.3614457831"
"Rwanda"	"2002"	"3"	"23"	"101"	"39"	"0.3861386139"
"Rwanda"	"2002"	"3"	"24"	"93"	"48"	"0.5161290323"
"Slovenia"	"2002"	"3"	"22"	"234"	"55"	"0.235042735"
"Sierra Leone"	"2004"	"3"	"14"	"59"	"1"	"0.0169491525"
"Sierra Leone"	"2004"	"3"	"15"	"91"	"8"	"0.0879120879"
"Sierra Leone"	"2004"	"3"	"16"	"42"	"4"	"0.0952380952"
"Sierra Leone"	"2004"	"3"	"17"	"50"	"8"	"0.16"
"Sierra Leone"	"2004"	"3"	"18"	"117"	"25"	"0.2136752137"
"Sierra Leone"	"2004"	"3"	"19"	"80"	"9"	"0.1125"
"Sierra Leone"	"2004"	"3"	"20"	"169"	"56"	"0.3313609467"
"Sierra Leone"	"2004"	"3"	"21"	"56"	"25"	"0.4464285714"
"Sierra Leone"	"2004"	"3"	"22"	"87"	"28"	"0.3218390805"
"Sierra Leone"	"2004"	"3"	"23"	"65"	"30"	"0.4615384615"
"Sierra Leone"	"2004"	"3"	"24"	"65"	"29"	"0.4461538462"
"Senegal"	"2002"	"3"	"12"	"1089"	"4"	"0.0036730946"
"Senegal"	"2002"	"3"	"13"	"658"	"3"	"0.0045592705"
"Senegal"	"2002"	"3"	"14"	"444"	"4"	"0.009009009"
"Senegal"	"2002"	"3"	"15"	"343"	"7"	"0.0204081633"
"Senegal"	"2002"	"3"	"16"	"239"	"6"	"0.0251046025"
"Senegal"	"2002"	"3"	"17"	"203"	"10"	"0.0492610837"
"Senegal"	"2002"	"3"	"18"	"193"	"13"	"0.067357513"
"Senegal"	"2002"	"3"	"19"	"137"	"10"	"0.0729927007"
"Senegal"	"2002"	"3"	"20"	"174"	"27"	"0.1551724138"
"Senegal"	"2002"	"3"	"21"	"97"	"20"	"0.206185567"
"Senegal"	"2002"	"3"	"22"	"144"	"39"	"0.2708333333"
"Senegal"	"2002"	"3"	"23"	"93"	"29"	"0.311827957"
"Senegal"	"2002"	"3"	"24"	"93"	"26"	"0.2795698925"
"Chad"	"2004"	"1"	"16"	"6.162153"	"3.249751"	"0.5273726569"
"Chad"	"2004"	"1"	"17"	"9.614621"	"4.400839"	"0.4577236066"
"Chad"	"2004"	"1"	"18"	"13.035405"	"8.523326"	"0.6538596998"
"Chad"	"2004"	"1"	"19"	"10.416063"	"4.572656"	"0.439000417"
"Chad"	"2004"	"1"	"20"	"8.804521"	"8.060139"	"0.9154545716"
"Chad"	"2004"	"1"	"21"	"5.794924"	"3.279891"	"0.5659937904"
"Chad"	"2004"	"1"	"22"	"6.075894"	"4.365775"	"0.7185403498"
"Chad"	"2004"	"1"	"23"	"5.546716"	"4.144767"	"0.7472470197"
"Chad"	"2004"	"1"	"24"	"2.85042"	"2.091638"	"0.7337999312"
"Tanzania"	"2002"	"3"	"12"	"493.23801899"	"12.512126196"	"0.0253673191"
"Tanzania"	"2002"	"3"	"13"	"440.96471535"	"20.171361134"	"0.0457437079"
"Tanzania"	"2002"	"3"	"14"	"566.73325229"	"21.619652832"	"0.038147846"
"Tanzania"	"2002"	"3"	"15"	"540.29524438"	"21.874774985"	"0.0404867065"
"Tanzania"	"2002"	"3"	"16"	"601.14243488"	"55.46177352"	"0.0922606196"
"Tanzania"	"2002"	"3"	"17"	"533.58185533"	"71.187993214"	"0.1334153186"
"Tanzania"	"2002"	"3"	"18"	"708.63687281"	"145.64689752"	"0.205531074"
"Tanzania"	"2002"	"3"	"19"	"469.25542255"	"145.66360858"	"0.3104143321"
"Tanzania"	"2002"	"3"	"20"	"542.57574677"	"202.90009647"	"0.3739571805"
"Tanzania"	"2002"	"3"	"21"	"262.95629688"	"99.397373269"	"0.3779995933"
"Tanzania"	"2002"	"3"	"22"	"476.46234485"	"211.46952703"	"0.443832612"
"Tanzania"	"2002"	"3"	"23"	"311.20112146"	"149.11945539"	"0.4791739011"
"Tanzania"	"2002"	"3"	"24"	"310.98164957"	"150.43740083"	"0.4837500896"
"Uganda"	"2002"	"3"	"12"	"767"	"4"	"0.0052151239"
"Uganda"	"2002"	"3"	"13"	"607"	"9"	"0.0148270181"
"Uganda"	"2002"	"3"	"14"	"795"	"15"	"0.0188679245"
"Uganda"	"2002"	"3"	"15"	"1348"	"40"	"0.0296735905"
"Uganda"	"2002"	"3"	"16"	"1798"	"94"	"0.0522803115"
"Uganda"	"2002"	"3"	"17"	"1808"	"152"	"0.0840707965"
"Uganda"	"2002"	"3"	"18"	"2900"	"307"	"0.105862069"
"Uganda"	"2002"	"3"	"19"	"2242"	"300"	"0.133809099"
"Uganda"	"2002"	"3"	"20"	"2136"	"405"	"0.1896067416"
"Uganda"	"2002"	"3"	"21"	"1271"	"241"	"0.1896144768"
"Uganda"	"2002"	"3"	"22"	"1463"	"386"	"0.2638414217"
