"country"	"YEAR"	"AGE"	"SEX"	"SCHOOL"	"prop_union2"	"prop_child2"	"round"	"childless2"
"Austria"	"2001"	"19"	"Female"	"0"	"0.124166959"	"0.0792704314"	"2000"	"0.9207295686"
"Austria"	"2001"	"19"	"Female"	"1"	"0.0189393939"	"0.0127840909"	"2000"	"0.9872159091"
"Austria"	"2001"	"20"	"Male"	"0"	"0.0464340688"	"."	"2000"	"."
"Austria"	"2001"	"20"	"Male"	"1"	"0.0103675778"	"."	"2000"	"."
"Austria"	"2001"	"20"	"Female"	"0"	"0.1802721088"	"0.1187384045"	"2000"	"0.8812615955"
"Austria"	"2001"	"20"	"Female"	"1"	"0.0280433397"	"0.0140216699"	"2000"	"0.9859783301"
"Austria"	"2001"	"21"	"Male"	"0"	"0.0895877378"	"."	"2000"	"."
"Austria"	"2001"	"21"	"Male"	"1"	"0.0153531218"	"."	"2000"	"."
"Austria"	"2001"	"21"	"Female"	"0"	"0.2498472816"	"0.1728772144"	"2000"	"0.8271227856"
"Austria"	"2001"	"21"	"Female"	"1"	"0.0575479566"	"0.0275229358"	"2000"	"0.9724770642"
"Austria"	"2001"	"22"	"Male"	"0"	"0.136141793"	"."	"2000"	"."
"Austria"	"2001"	"22"	"Male"	"1"	"0.0269709544"	"."	"2000"	"."
"Austria"	"2001"	"22"	"Female"	"0"	"0.2938043174"	"0.2251191477"	"2000"	"0.7748808523"
"Austria"	"2001"	"22"	"Female"	"1"	"0.0550373134"	"0.0335820896"	"2000"	"0.9664179104"
"Austria"	"2001"	"23"	"Male"	"0"	"0.1770005299"	"."	"2000"	"."
"Austria"	"2001"	"23"	"Male"	"1"	"0.0325301205"	"."	"2000"	"."
"Austria"	"2001"	"23"	"Female"	"0"	"0.3536552468"	"0.2673320745"	"2000"	"0.7326679255"
"Austria"	"2001"	"23"	"Female"	"1"	"0.0815642458"	"0.0458100559"	"2000"	"0.9541899441"
"Austria"	"2001"	"24"	"Male"	"0"	"0.2332412754"	"."	"2000"	"."
"Austria"	"2001"	"24"	"Male"	"1"	"0.0578313253"	"."	"2000"	"."
"Austria"	"2001"	"24"	"Female"	"0"	"0.4244421907"	"0.3227687627"	"2000"	"0.6772312373"
"Austria"	"2001"	"24"	"Female"	"1"	"0.1072386059"	"0.0576407507"	"2000"	"0.9423592493"
"Burkina Faso"	"1998"	"15"	"Male"	"0"	"0.0139372828"	"."	"2000"	"."
"Burkina Faso"	"1998"	"15"	"Male"	"1"	"0"	"."	"2000"	"."
"Burkina Faso"	"1998"	"15"	"Female"	"0"	"0.076930474"	"0.0276568155"	"2000"	"0.9723431845"
"Burkina Faso"	"1998"	"15"	"Female"	"1"	"0"	"0"	"2000"	"1"
"Burkina Faso"	"1998"	"16"	"Male"	"0"	"0.0081464609"	"."	"2000"	"."
"Burkina Faso"	"1998"	"16"	"Male"	"1"	"0"	"."	"2000"	"."
"Burkina Faso"	"1998"	"16"	"Female"	"0"	"0.1445915508"	"0.063212413"	"2000"	"0.936787587"
"Burkina Faso"	"1998"	"16"	"Female"	"1"	"0"	"0"	"2000"	"1"
"Burkina Faso"	"1998"	"17"	"Male"	"0"	"0.0127478111"	"."	"2000"	"."
"Burkina Faso"	"1998"	"17"	"Male"	"1"	"0"	"."	"2000"	"."
"Burkina Faso"	"1998"	"17"	"Female"	"0"	"0.3928316054"	"0.1465324114"	"2000"	"0.8534675886"
"Burkina Faso"	"1998"	"17"	"Female"	"1"	"0"	"0"	"2000"	"1"
"Burkina Faso"	"1998"	"18"	"Male"	"0"	"0.0418425507"	"."	"2000"	"."
"Burkina Faso"	"1998"	"18"	"Male"	"1"	"0.0183730237"	"."	"2000"	"."
"Burkina Faso"	"1998"	"18"	"Female"	"0"	"0.6107944959"	"0.3947918014"	"2000"	"0.6052081986"
"Burkina Faso"	"1998"	"18"	"Female"	"1"	"0.0283662418"	"0.0292900422"	"2000"	"0.9707099578"
"Burkina Faso"	"1998"	"19"	"Male"	"0"	"0.0651422702"	"."	"2000"	"."
"Burkina Faso"	"1998"	"19"	"Male"	"1"	"0"	"."	"2000"	"."
"Burkina Faso"	"1998"	"19"	"Female"	"0"	"0.7743433362"	"0.5608295667"	"2000"	"0.4391704333"
"Burkina Faso"	"1998"	"19"	"Female"	"1"	"0.0889395893"	"0.1921489508"	"2000"	"0.8078510492"
"Burkina Faso"	"1998"	"20"	"Male"	"0"	"0.1223598304"	"."	"2000"	"."
"Burkina Faso"	"1998"	"20"	"Male"	"1"	"0"	"."	"2000"	"."
