"country"	"YEAR"	"AGE"	"SEX"	"prop_union"	"prop_childless"	"prop_school"	"round"	"with_child"
"Belarus"	"1999"	"19"	"Male"	"0.0441744892"	"."	"0.4888643475"	"2000"	"."
"Belarus"	"1999"	"19"	"Female"	"0.1841125362"	"0.8786206897"	"0.5141359812"	"2000"	"0.1213793103"
"Belarus"	"1999"	"20"	"Male"	"0.0872704442"	"."	"0.3153351122"	"2000"	"."
"Belarus"	"1999"	"20"	"Female"	"0.3069883527"	"0.792926491"	"0.3937881309"	"2000"	"0.207073509"
"Belarus"	"1999"	"21"	"Male"	"0.1820635873"	"."	"0.2537492501"	"2000"	"."
"Belarus"	"1999"	"21"	"Female"	"0.4219783312"	"0.6710285634"	"0.3056141832"	"2000"	"0.3289714366"
"Belarus"	"1999"	"22"	"Male"	"0.305171377"	"."	"0.1601022249"	"2000"	"."
"Belarus"	"1999"	"22"	"Female"	"0.5167381974"	"0.5599599313"	"0.1969957082"	"2000"	"0.4400400687"
"Belarus"	"1999"	"23"	"Male"	"0.4047549163"	"."	"0.1113883182"	"2000"	"."
"Belarus"	"1999"	"23"	"Female"	"0.5916934776"	"0.458095656"	"0.1314711904"	"2000"	"0.541904344"
"Belarus"	"1999"	"24"	"Male"	"0.5003057169"	"."	"0.0892693366"	"2000"	"."
"Belarus"	"1999"	"24"	"Female"	"0.6534058386"	"0.371743487"	"0.1041785919"	"2000"	"0.628256513"
"Congo (Brazzaville)"	"2005"	"15"	"Female"	"0.0391328371"	"0.9638628837"	"0.7906689982"	"2000"	"0.0361371163"
"Congo (Brazzaville)"	"2005"	"16"	"Female"	"0.110520278"	"0.8933519764"	"0.7000713387"	"2000"	"0.1066480236"
"Congo (Brazzaville)"	"2005"	"17"	"Female"	"0.1165140187"	"0.8374914712"	"0.6629898251"	"2000"	"0.1625085288"
"Congo (Brazzaville)"	"2005"	"18"	"Female"	"0.251596918"	"0.6495785774"	"0.4685219787"	"2000"	"0.3504214226"
"Congo (Brazzaville)"	"2005"	"19"	"Female"	"0.3459057998"	"0.5502216144"	"0.3901905281"	"2000"	"0.4497783856"
"Congo (Brazzaville)"	"2005"	"20"	"Female"	"0.450228735"	"0.3934616732"	"0.3093044867"	"2000"	"0.6065383268"
"Congo (Brazzaville)"	"2005"	"21"	"Female"	"0.5174110612"	"0.3332328376"	"0.2763800104"	"2000"	"0.6667671624"
